,sensitivity1,sensitivity2,sensitivity3,sensitivity4,sensitivity5,sensitivity6,sensitivity7,sensitivity8,sensitivity9,sensitivity10
0,0.7659574468085106,0.7209302325581395,0.7666666666666667,0.718562874251497,0.7352941176470589,0.7124183006535948,0.7467532467532467,0.7515527950310559,0.7402597402597403,0.6823529411764706
1,0.6703910614525139,0.6964285714285714,0.6956521739130435,0.6820809248554913,0.6388888888888888,0.6214689265536724,0.6829268292682927,0.7051282051282052,0.6536312849162011,0.6195652173913043
2,0.7630057803468208,0.788235294117647,0.8414634146341463,0.7722222222222223,0.735632183908046,0.8258064516129032,0.825503355704698,0.8074534161490683,0.8407643312101911,0.803680981595092
3,0.6766467065868264,0.69375,0.7051282051282052,0.7682119205298014,0.743421052631579,0.7048192771084337,0.8217054263565892,0.7341772151898734,0.7295597484276729,0.7571428571428571
4,0.632183908045977,0.6705882352941176,0.6214689265536724,0.6729559748427673,0.6432748538011696,0.6441717791411042,0.6521739130434783,0.6101694915254238,0.6416184971098265,0.6506024096385542
5,0.5555555555555556,0.5568862275449101,0.5357142857142857,0.5232558139534884,0.5144508670520231,0.5170454545454546,0.5641025641025641,0.5248618784530387,0.5337423312883436,0.5592105263157895
6,0.8181818181818182,0.8079470198675497,0.8082191780821918,0.8299319727891157,0.8013245033112583,0.7100591715976331,0.8108108108108109,0.7484276729559748,0.7987012987012987,0.7577639751552795
7,0.6428571428571429,0.5967741935483871,0.5806451612903226,0.6845637583892618,0.66875,0.5913978494623656,0.6436781609195402,0.6208791208791209,0.65,0.6993464052287581
8,0.6687898089171974,0.6729559748427673,0.7169811320754716,0.6823529411764706,0.6271186440677966,0.6208791208791209,0.6573033707865169,0.6419753086419753,0.6583850931677019,0.6710526315789473
9,0.7701863354037267,0.7660818713450293,0.7607361963190185,0.7443181818181818,0.7816091954022989,0.7309941520467836,0.7108433734939759,0.8,0.7922077922077922,0.75
